date ,tempLo,tempHi,tempLow,tempHi
60,19,33,11,24
61,19,33,11,24
62,19,33,11,24
63,19,34,11,24
64,21,35,15,26
65,21,35,16,27
66,21,34,15,29
67,21,34,13,30
68,21,34,13,29
69,20,35,13,29
70,20,34,13,29
71,20,34,12,28
72,20,34,12,27
73,20,34,14,28
74,20,33,13,29
75,22,34,15,30
76,23,35,16,30
77,23,35,17,33
78,22,35,18,33
79,23,34,17,33
80,23,35,18,34
81,23,35,19,34
82,24,35,19,34
83,23,35,19,34
84,23,35,19,33
85,23,34,18,33
86,21,33,16,29
87,22,33,17,30
88,23,32,16,31
89,24,33,17,31
90,24,35,18,32
